Variable;2015 Q no.;Survey Question;Answer Options;Coding
;;;3;3
;;;4;4
;;;5 - Not at all Important;5
;;;;
q8_6_6;q3_7_6;Committee Choice because of National Party Decision;1 - Extremely Important;1
;;I was asked to serve on the committee by my national party;2;2
;;;3;3
;;;4;4
;;;5 - Not at all Important;5
;;;;
q8_6_7;q3_7_7;Committee Choice because already a cmte member;1 - Extremely Important;1
;;I was a member of this committee in the last European Parliament;2;2
;;;3;3
;;;4;4
;;;5 - Not at all Important;5
;;;;
q8_8;q3_5;Favoured committee;;
;;After the 2014 European election, which committee did you most want to sit on?;;
;;Foreign Affairs;1;0
;;Development;2;1
;;International Trade;3;0
;;Budgets;4;1
;;Budgetary Control;5;0
;;Economic and Monetary Affairs;6;1
;;Employment and Social Affairs;7;0
;;Environment, Public Health and Food Safety;8;1
;;Industry, Research and Energy;9;0
;;Internal Market and Consumer Protection;10;1
;;Transport and Tourism;11;0
;;Regional Development;12;1
;;Agriculture and Rural Development;13;0
;;Fisheries;14;1
;;Culture and Education;15;0
;;Legal Affairs;16;1
;;Civil Liberties, Justice and Home Affairs;17;0
;;Constitutional Affairs;18;1
;;Women's Rights and Gender Equality;19;0
;;Petitions;20;1
;;;;1
q8_9;q3_6;Committee positions;;
;;Which committee(s) do you currently sit on as a full member?;;
q8_9_1;q3_6_1;Foreign Affairs;Not selected;0
;;;Selected;1
q8_9_2;q3_6_2;Development;Not selected;0
;;;Selected;1
q8_9_3;q3_6_3;International Trade;Not selected;0
;;;Selected;1
q8_9_4;q3_6_4;Budgets;Not selected;0
;;;Selected;1
q8_9_5;q3_6_5;Budgetary Control;Not selected;0
;;;Selected;1
q8_9_6;q3_6_6;Economic and Monetary Affairs;Not selected;0
;;;Selected;1
q8_9_7;q3_6_7;Employment and Social Affairs;Not selected;0
;;;Selected;1
q8_9_8;q3_6_8;Environment, Public Health and Food Safety;Not selected;0
;;;Selected;1
q8_9_9;q3_6_9;Industry, Research and Energy;Not selected;0
;;;Selected;1
q8_9_10;q3_6_10;Internal Market and Consumer Protection;Not selected;0
;;;Selected;1
q8_9_11;q3_6_11;Transport and Tourism;Not selected;0
;;;Selected;1
q8_9_12;q3_6_12;Regional Development;Not selected;0
;;;Selected;1
q8_9_13;q3_6_13;Agriculture and Rural Development;Not selected;0
;;;Selected;1
q8_9_14;q3_6_14;Fisheries;Not selected;0
;;;Selected;1
q8_9_15;q3_6_15;Culture and Education;Not selected;0
;;;Selected;1
q8_9_16;q3_6_16;Legal Affairs;Not selected;0
;;;Selected;1
q8_9_17;q3_6_17;Civil Liberties, Justice and Home Affairs;Not selected;0
;;;Selected;1
q8_9_18;q3_6_18;Constitutional Affairs;Not selected;0
;;;Selected;1
q8_9_19;q3_6_19;Women's Rights and Gender Equality;Not selected;0
;;;Selected;1
q8_9_20;q3_6_20;Petitions;Not selected;0
;;;Selected;1
;;;;
q8_10;q3_3;Actions when making decisions on legislation;(these options apply to all three parts of the question);
;;How much do you agree or disagree with the following statements? When making decisions on legislation, MEPs should:;Strongly agree;1
;;;Agree;2
;;;Neither agree nor disagree;3
;;;Disagree;4
;;;Strongly disagree;5
;;;;
q8_10_1;q3_3_1;Defend their national position;; 
;;;; 
q8_10_2;q3_3_2;Look for a common policy in collaboration with MEPs from other member states and party groups;; 
;;;; 
;;;;
q8_10_3;q3_3_3;Agree compromises on a legislative proposal in return for other MEPs' support on other legislative proposals;;
;;;;
q8_11;q3_4;Effects of positive and negative responses on MEPs' decision-making;;
;;When making decisions in the European Parliament, are MEPs affected by any of the following? [please tick any that apply];;
q8_11_1;q3_4_1;Praise;No;0
;;;Yes;1
q8_11_2;q3_4_2;Acceptance;No;0
;;;Yes;1
q8_11_3;q3_4_3;Recognition;No;0
;;;Yes;1
q8_11_4;q3_4_4;Isolation;No;0
;;;Yes;1
q8_11_5;q3_4_5;Loss of support;No;0
;;;Yes;1
q8_11_6;q3_4_6;Criticism;No;0
;;;Yes;1
;;;;
;;SECTION VIII. CAMPAIGNING BEHAVIOUR;;
;;;;
q9_2a;q1_7;Vote for individual candidates not just parties (e.g. open lists);;
;;To what extent do you agree or disagree with the following statement: In European Parliament elections, citizens should be able to vote for individual candidates rather than just for political parties (for example in an ‘open’ or ‘semi-open’ list form of proportional representation, as opposed to a ‘closed’ list form of PR)? ;Strongly disagree;1
;;;Disagree;2
;;;Neither agree nor disagree;3
;;;Agree;4
;;;Strongly agree;5
;;;;
q9_6a;q1_8;Were any of the following activities part of your 2014 campaign? If yes, how important were they? ;;
;;;Not used;1
;;;Of little importance;2
;;;Somewhat important;3
;;;Very important;4
;;;Most important;5
q9_6a_1;q1_8_1;Door-knocking, canvassing ;;
q9_6a_2;q1_8_2;Distributing party campaign material;;
q9_6a_3;q1_8_3;Calling up voters on the phone ;;
q9_6a_4;q1_8_4;Visiting businesses and social organisations ;;
q9_6a_5;q1_8_5;Meetings with party elites/members and/or party groups ;;
q9_6a_6;q1_8_6;Media activities (interviews, press releases) ;;
q9_6a_7;q1_8_7;Public speeches and rallies   ;;
q9_6a_8;q1_8_8;Personal campaign posters;;
q9_6a_9;q1_8_9;Direct mailing;;
q9_6a_10;q1_8_10;Personal newspaper ads  ;;
q9_6a_11;q1_8_11;Personal spots in radio, TV, movie houses;;
q9_6a_12;q1_8_12;Personal flyers or other campaign material (give-aways);;
q9_6a_13;q1_8_13;Personal website;;
q9_6a_14;q1_8_14;Mailing list to inform supporters and voters about my campaign;;
q9_6a_15;q1_8_15;Own blog;;
q9_6a_16;q1_8_16;SMS messages;;
q9_6a_17;q1_8_17;Facebook or Twitter;;
q9_6a_18;q1_8_18;Other;;
q9_6a_19;q1_8_19;If ‘other’, please specify below: ;Open-ended text answer;
;;;;
q9_10a;q1_9;Primary aim of the campaign-party or candidate?;0 (to attract as much attention as possible for me as a candidate);0
;;What was the primary aim of your campaign? ;1;1
;;Where would you place yourself on this scale? ;2;2
;;;3;3
;;;4;4
;;;5;5
;;;6;6
;;;7;7
;;;8;8
;;;9;9
;;;10 (to attract as much attention as possible for my party);10
